[2021-05-16 19:53:12,532]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-20 12:14:53,128]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,128]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,136]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-20 12:14:53,138]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-20 12:14:53,138]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-20 12:14:53,139]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-20 12:17:08,231]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,234]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,235]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,235]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,236]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,236]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,236]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,237]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,237]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:17:08,243]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-20 12:17:08,243]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-20 12:17:08,244]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-20 12:17:08,244]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-20 19:57:44,905]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,911]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,912]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,913]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,914]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,915]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,916]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,917]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,918]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 19:57:44,934]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-20 19:57:44,939]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-20 19:57:44,940]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-20 19:57:44,941]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-22 11:35:04,944]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,949]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,950]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,952]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,953]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,954]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,955]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,957]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,958]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 11:35:04,974]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-22 11:35:04,976]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-22 11:35:04,978]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-22 11:35:04,979]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-22 12:18:49,796]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,802]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,803]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,804]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,806]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,807]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,808]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,809]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,810]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-22 12:18:49,822]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-22 12:18:49,824]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-22 12:18:49,825]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-22 12:18:49,826]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
